"","ENST","ENSG","Symbol","Entrez"
"383","ENST00000610869","ENSG00000276806","KIR3DL3",115653
"384","ENST00000620686","ENSG00000274788","LILRP2",79166
"386","ENST00000616472","ENSG00000275452","KIR2DS2",100132285
"388","ENST00000611411","ENSG00000274707","KIR2DL5B",553128
"389","ENST00000611821","ENSG00000276590","KIR2DL3",3804
"390","ENST00000621881","ENSG00000274610","KIR3DP1",NA
"391","ENST00000621249","ENSG00000277963","LILRP2",79166
"393","ENST00000613298","ENSG00000275269","FCAR",2204
"406","ENST00000612504","ENSG00000275750","KIR2DL1",3802
"407","ENST00000610437","ENSG00000273502","KIR3DL3",115653
"409","ENST00000620803","ENSG00000274556","KIR3DL3",115653
"410","ENST00000570973","ENSG00000262025","",NA
"411","ENST00000576306","ENSG00000263275","",NA
"412","ENST00000572320","ENSG00000262299","",343052
"413","ENST00000572295","ENSG00000262767","GEMIN2P1",NA
"414","ENST00000576342","ENSG00000261992","GATAD2B",57459
"415","ENST00000611434","ENSG00000273498","KIR2DL4",3805
"417","ENST00000611628","ENSG00000278474","KIR3DL2",3812
"419","ENST00000611207","ENSG00000276218","KIR2DL3",3804
"420","ENST00000611175","ENSG00000275815","KIR2DP1",NA
"421","ENST00000613053","ENSG00000277362","KIR2DL4",3805
"422","ENST00000611990","ENSG00000278327","KIR2DL3",3804
"423","ENST00000616878","ENSG00000275136","FCAR",2204
"436","ENST00000616049","ENSG00000277630","",100288966
"438","ENST00000615715","ENSG00000276307","LILRP1",NA
"439","ENST00000618668","ENSG00000273883","LILRP2",79166
"441","ENST00000617512","ENSG00000273929","",NA
"442","ENST00000616076","ENSG00000278821","KIR2DL1",3802
"444","ENST00000577143","ENSG00000263130","",NA
"445","ENST00000575439","ENSG00000263163","SLC27A3",11000
"458","ENST00000622560","ENSG00000277251","KIR2DL2",3803
"459","ENST00000613891","ENSG00000278758","KIR3DL2",3812
"461","ENST00000613610","ENSG00000278442","KIR3DL2",3812
"463","ENST00000615920","ENSG00000273794","KIR2DL1",3802
"465","ENST00000622039","ENSG00000273517","KIR2DS1",3806
"466","ENST00000619614","ENSG00000278329","KIR2DP1",NA
"467","ENST00000617593","ENSG00000274108","KIR2DL3",3804
"468","ENST00000618987","ENSG00000277356","KIR2DL1",3802
"469","ENST00000622026","ENSG00000275795","",NA
"470","ENST00000611193","ENSG00000277657","KIR2DS3",3808
"471","ENST00000616468","ENSG00000278793","",NA
"472","ENST00000615969","ENSG00000275937","KIR2DL5B",553128
"473","ENST00000617157","ENSG00000278339","KIR2DP1",NA
"474","ENST00000622060","ENSG00000274545","LILRP1",NA
"475","ENST00000611573","ENSG00000275513","KIR3DL3",115653
"476","ENST00000613313","ENSG00000278490","KIR3DL3",115653
"477","ENST00000610441","ENSG00000277885","KIR2DS2",100132285
"478","ENST00000610602","ENSG00000278079","KIR3DL1",3811
"480","ENST00000619621","ENSG00000276011","KIR2DL2",3803
"481","ENST00000611367","ENSG00000277552","KIR3DL3",115653
"482","ENST00000619180","ENSG00000274912","KIR2DP1",NA
"483","ENST00000617469","ENSG00000276395","KIR2DS4",3809
"484","ENST00000615308","ENSG00000275262","KIR3DL2",3812
"486","ENST00000610627","ENSG00000276310","KIR2DL1",3802
"487","ENST00000612095","ENSG00000277596","KIR3DL3",115653
"488","ENST00000576223","ENSG00000262994","",NA
"489","ENST00000620392","ENSG00000275059","",NA
"490","ENST00000599578","ENSG00000269823","",NA
"491","ENST00000617666","ENSG00000278361","KIR3DL2",3812
"493","ENST00000570889","ENSG00000262710","",NA
"494","ENST00000615523","ENSG00000278427","KIR3DL1",3811
"496","ENST00000619788","ENSG00000274563","KIR2DS5",3810
"497","ENST00000573630","ENSG00000262469","",NA
"498","ENST00000578047","ENSG00000276295","",NA
"499","ENST00000583838","ENSG00000275531","",NA
"500","ENST00000610987","ENSG00000276552","",NA
"501","ENST00000631855","ENSG00000281935","DNAH10",196385
"507","ENST00000614653","ENSG00000277750","KIR2DL4",3805
"508","ENST00000613200","ENSG00000276324","",NA
"509","ENST00000620500","ENSG00000277240","LILRP1",NA
"510","ENST00000616543","ENSG00000273955","KIR2DP1",NA
"511","ENST00000622103","ENSG00000275021","",NA
"512","ENST00000612182","ENSG00000274438","KIR2DS2",100132285
"513","ENST00000629443","ENSG00000281738","LINC01839",NA
"514","ENST00000629872","ENSG00000281250","LINC02054",NA
"516","ENST00000628242","ENSG00000280579","",NA
"519","ENST00000615390","ENSG00000276254","",3809
"520","ENST00000610861","ENSG00000274786","KIR3DL3",115653
"521","ENST00000610860","ENSG00000274708","",NA
"522","ENST00000611199","ENSG00000278277","",NA
"523","ENST00000631218","ENSG00000280708","",NA
"526","ENST00000618313","ENSG00000276994","",NA
"527","ENST00000621932","ENSG00000277076","KIR2DL4",3805
"532","ENST00000618870","ENSG00000278692","KIR2DL2",3803
"533","ENST00000624590","ENSG00000280271","",NA
"535","ENST00000618798","ENSG00000278025","NCR1",9437
"543","ENST00000616830","ENSG00000278625","",NA
"544","ENST00000631158","ENSG00000281416","",NA
"545","ENST00000624335","ENSG00000279566","ZNF43",7594
"549","ENST00000618364","ENSG00000275735","KIR2DS2",100132285
"550","ENST00000633711","ENSG00000282534","IMPDH1P5",NA
"551","ENST00000369222","ENSG00000275974","PPIAL4F",728945
"552","ENST00000632221","ENSG00000274429","DLG5",9231
"562","ENST00000616438","ENSG00000275629","KIR3DL2",3812
"564","ENST00000623104","ENSG00000279614","",NA
"565","ENST00000615082","ENSG00000273546","LILRP1",NA
"566","ENST00000620701","ENSG00000275782","",NA
"567","ENST00000575017","ENSG00000262647","OR9G4",283189
"568","ENST00000631283","ENSG00000281107","OR5G3",NA
"569","ENST00000614218","ENSG00000274746","ZNF100",163227
"574","ENST00000572137","ENSG00000262268","OR9G3P",NA
"575","ENST00000628905","ENSG00000280460","",NA
"576","ENST00000627632","ENSG00000281313","OR5G1P",NA
"577","ENST00000614774","ENSG00000274574","",NA
"578","ENST00000627954","ENSG00000281279","OR5G4P",NA
"579","ENST00000621107","ENSG00000273990","RNVU1-26",NA
"580","ENST00000619524","ENSG00000273757","RNVU1-2A",6063
"581","ENST00000610371","ENSG00000276808","",NA
"582","ENST00000614042","ENSG00000278190","",NA
"583","ENST00000630430","ENSG00000262535","OR5G5P",NA
"587","ENST00000625734","ENSG00000281777","OR9G2P",NA
"588","ENST00000612586","ENSG00000273670","LILRP1",NA
"589","ENST00000618879","ENSG00000274476","KIR2DP1",NA
"590","ENST00000573911","ENSG00000261958","OR9G1",390174
"591","ENST00000624782","ENSG00000279280","CCNYL6",641367
"592","ENST00000340708","ENSG00000276999","",NA
"593","ENST00000623800","ENSG00000279112","BRI3BPP1",641367
"595","ENST00000625745","ENSG00000281683","",NA
"596","ENST00000620498","ENSG00000274465","KIR3DS1",3813
"598","ENST00000624719","ENSG00000280218","VN1R84P",NA
"599","ENST00000571130","ENSG00000262191","OR9G9",504191
"600","ENST00000623683","ENSG00000280066","MTDHP4",NA
"601","ENST00000619623","ENSG00000277456","",NA
"602","ENST00000615903","ENSG00000273752","",NA
"603","ENST00000631340","ENSG00000281839","LINC02735",101927120
"604","ENST00000621031","ENSG00000278606","KIR2DL4",3805
"609","ENST00000620122","ENSG00000277153","RNU6-222P",NA
"610","ENST00000631948","ENSG00000278788","SBNO2",22904
"621","ENST00000619771","ENSG00000274947","KIR2DS4",3809
"622","ENST00000619394","ENSG00000276243","LILRP2",79166
"624","ENST00000617877","ENSG00000274082","",NA
